offer_code,sku,brand,name,price,sale_price,url,product_rating,is_bestseller
a8fa9cd814c4d90d,N27541386A,Generic,Yoga Block Brick Foam Sport Tools ,29.0,,yoga-block-brick-foam-sport-tools,"{'value': 4.8, 'count': 5}",False
df0f3c993478a50c,N44712430A,Generic,"Foam Roller Yoga & Massage Relax After Work Out, For Back, Legs, Shoulder, Arms, Neck Pain Reliever ",58.8,,foam-roller-yoga-massage-relax-after-work-out-for-back-legs-shoulder-arms-neck-pain-reliever,,False
da54af9f29a38d1b,N43426683A,Generic,Women Hollow Out Sport T-Shirt V Back Half Sleeves 19x18x3cm ,316.05,,women-hollow-out-sport-t-shirt-v-back-half-sleeves-19x18x3cm,,False
ba146fa81045a2ca,N49400518A,Generic,Acupressure Mat For Back Pain Relief Blue ,169.0,73.9,acupressure-mat-for-back-pain-relief-blue,,False
e437a31e2bacde8d,N31174526A,Generic,Home Fitness Exercise Yoga Band 110centimeter ,44.0,,home-fitness-exercise-yoga-band-110centimeter,,False
d26500a9892a6bdf,N36225254A,Generic,Inflatable Spiky Point Foot Massage Ball 16centimeter ,126.95,,inflatable-spiky-point-foot-massage-ball-16centimeter,,False
dcfb81c47207101c,N40489409A,Generic,Plum Blossom Printed Non-Slip Yoga Towel 183x63cm ,104.9,,plum-blossom-printed-non-slip-yoga-towel-183x63cm,,False
e5657560bb4405ba,N40489399A,Generic,Plum Blossom Printed Non-Slip Yoga Towel 183x63cm ,142.35,,plum-blossom-printed-non-slip-yoga-towel-183x63cm,,False
ae3409c676988e0c,N40489402A,Generic,Plum Blossom Printed Non-Slip Yoga Towel 183x63cm ,133.6,,plum-blossom-printed-non-slip-yoga-towel-183x63cm,,False
bbc68ae352e97bbc,N40489401A,Generic,Plum Blossom Printed Non-Slip Yoga Towel 183x63cm ,111.9,,plum-blossom-printed-non-slip-yoga-towel-183x63cm,,False
e331bff46ea7073a,N40661916A,Generic,Yoga Pilates Ring 38cm ,100.65,,yoga-pilates-ring-38cm,,False
abd7e682cb2ab9be,N40489408A,Generic,Plum Blossom Printed Non-Slip Yoga Towel 183x63cm ,87.6,,plum-blossom-printed-non-slip-yoga-towel-183x63cm,,False
d3736b697e5b5dbe,N40489407A,Generic,Plum Blossom Printed Non-Slip Yoga Towel 183x63cm ,86.3,,plum-blossom-printed-non-slip-yoga-towel-183x63cm,,False
db252da57d64879f,N40489406A,Generic,Plum Blossom Printed Non-Slip Yoga Towel 183x63cm ,91.7,,plum-blossom-printed-non-slip-yoga-towel-183x63cm,,False
fa0d39476d6a3aba,N40489405A,Generic,Plum Blossom Printed Non-Slip Yoga Towel 183x63cm ,89.9,,plum-blossom-printed-non-slip-yoga-towel-183x63cm,,False
f70d6601e9f3c34d,N36224894A,Generic,Yoga Stretching Strap 15centimeter ,36.0,,yoga-stretching-strap-15centimeter,,False
a3bde921dea2ec4b,N49307677A,Generic,Wooden Massager Roller ,999.0,58.0,wooden-massager-roller,,False
db5814577b30419f,N42326495A,Generic,Adjustable Anti-Gravity Home Aerial Yoga Hammock Swing Trapeze Inversion Tool 250*150cm ,221.45,,adjustable-anti-gravity-home-aerial-yoga-hammock-swing-trapeze-inversion-tool-250-150cm,,False
e3827e92b842d6ac,N43426707A,Generic,Survival Pocket Chain 20x10x5cm ,165.8,,survival-pocket-chain-20x10x5cm,,False
a1ce866b39c2929d,N43426803A,Generic,Wireless LCD Display Speedometer 11.5x11x3cm ,316.05,,wireless-lcd-display-speedometer-11-5x11x3cm,,False
c125e26434fea94a,N44711397A,Generic,"Non-Slip 6 mm-Thick TPE Yoga mat, Workout mat, Rubber Gym mat 183x61cm ",33.0,,non-slip-6-mm-thick-tpe-yoga-mat-workout-mat-rubber-gym-mat-183x61cm,,False
a4bce0104ec88a7f,N34976189A,Generic,Sweat Absorbent Non-Slip Yoga Socks ,29.8,,sweat-absorbent-non-slip-yoga-socks,,False
c1297993bf63547b,N30510959A,Generic,Yoga Hemisphere Ball Yoga Balance Stability Trainer Exercise 58 x 23centimeter ,132.0,104.0,yoga-hemisphere-ball-yoga-balance-stability-trainer-exercise-58-x-23centimeter,"{'value': 5, 'count': 2}",False
ad23a183c44dbeed,N36225024A,Generic,Yoga Foam Roller 60centimeter ,364.05,,yoga-foam-roller-60centimeter,,False
fe820093f388bced,N36225015A,Generic,Yoga Foam Roller 45centimeter ,110.0,,yoga-foam-roller-45centimeter,,False
cb56cef63221e10c,N36225025A,Generic,Yoga Foam Roller 30centimeter ,188.3,,yoga-foam-roller-30centimeter,,False
ce8053d7afcf3c0e,N40357579A,Generic,Multi-Segment Yoga Resistance Band 20.0x14.0x2.0cm ,34.0,,multi-segment-yoga-resistance-band-20-0x14-0x2-0cm,,False
f855b6897ddb854f,N40357577A,Generic,Multi-Segment Yoga Resistance Band 20.0x14.0x2.0cm ,40.6,,multi-segment-yoga-resistance-band-20-0x14-0x2-0cm,,False
